N,P,K,temperature,humidity,ph,rainfall,label
84.33,62.74,72.69,26.39,57.47,6.52,83.18,Onion
81.61,44.6,42.43,25.93,57.58,6.73,105.38,Wheat
32.57,25.67,35.05,23.35,68.25,5.81,82.94,Ragi
39.74,25.13,100.92,26.91,89.87,6.66,118.75,Coconut
86.49,53.63,50.78,18.34,55.49,6.01,65.61,Wheat
45.21,24.5,20.2,21.79,47.02,7.21,21.26,Safflower
25.9,51.56,39.5,25.69,51.54,6.89,73.6,Groundnut
60.24,25.74,68.75,23.33,78.79,6.15,199.67,Turmeric
111.88,41.81,41.23,21.49,73.99,7.13,71.78,Wheat
23.98,51.96,49.24,30.15,41.23,6.88,65.5,Groundnut
81.33,49.4,51.95,18.52,53.19,7.38,80.93,Wheat
66.24,33.08,76.88,22.42,82.79,6.16,173.19,Turmeric
26.88,39.44,32.8,29.11,53.74,6.33,65.78,Toor Dal
52.21,31.28,93.41,26.51,72.31,6.4,219.54,Arecanut
38.27,37.57,23.53,25.73,68.44,7.31,58.12,Sesame
23.8,50.94,34.22,30.61,50.35,6.46,70.22,Groundnut
77.34,20.58,83.38,26.26,80.28,5.42,179.06,Arecanut
31.6,21.92,33.58,28.53,47.82,7.94,43.33,Safflower
43.75,17.1,36.41,33.42,35.12,6.03,28.52,Millet
57.58,51.93,42.07,29.25,69.25,7.34,62.42,Sunflower
90.75,104.27,77.16,23.91,88.03,6.82,1577.27,Sugarcane
41.23,30.68,32.9,31.82,62.14,6.6,32.09,Sesame
92.37,64.8,77.22,25.19,73.88,5.62,167.01,Banana
40.3,16.72,31.19,30.0,61.57,6.55,88.46,Ragi
67.97,47.42,27.58,22.36,56.99,7.19,74.69,Sunflower
39.9,26.82,107.24,31.83,81.03,5.7,173.8,Coconut
96.15,66.61,37.1,24.26,59.62,6.99,73.0,Chilli
83.68,69.65,37.25,26.76,79.58,7.28,87.57,Chilli
44.49,23.06,26.37,20.11,39.87,6.93,51.81,Safflower
39.15,65.42,36.16,23.43,88.46,6.99,138.06,Cotton
83.81,45.23,74.27,23.47,63.05,6.4,67.43,Onion
58.42,38.78,33.36,24.56,41.43,6.06,42.61,Sunflower
18.54,50.86,18.08,26.91,64.03,6.34,60.58,Toor Dal
48.62,19.12,38.97,32.3,59.63,6.12,28.88,Jowar
94.91,68.4,79.61,22.38,60.87,6.12,59.93,Tomato
30.62,25.81,113.41,27.22,77.8,6.73,129.35,Coconut
113.07,65.72,87.16,24.32,92.32,6.0,123.12,Banana
30.79,29.54,22.02,26.83,62.98,7.33,67.46,Sesame
58.45,34.29,69.51,23.13,83.08,5.81,169.12,Turmeric
42.75,42.28,35.49,28.57,57.07,7.19,24.51,Safflower
62.06,58.53,42.17,25.75,83.01,5.65,244.42,Rice
113.01,76.26,62.9,26.52,60.59,6.03,58.48,Tomato
64.16,48.58,57.4,21.55,72.68,6.88,74.98,Onion
17.16,35.03,24.56,30.13,69.23,7.77,49.72,Toor Dal
17.58,59.99,28.3,20.81,47.48,7.99,42.15,Bengalgram
66.85,53.23,37.45,22.66,94.79,6.78,233.54,Rice
29.63,77.5,20.37,26.41,62.7,6.1,110.45,Soybean
45.57,34.62,44.74,34.34,34.62,7.72,50.58,Jowar
69.23,22.91,27.11,27.51,72.49,7.39,75.03,Maize
63.48,45.55,35.45,21.53,85.11,5.55,179.83,Rice
65.05,43.32,65.71,25.67,71.91,6.06,131.74,Turmeric
40.38,33.51,60.39,25.56,81.55,6.61,136.85,Turmeric
36.89,44.97,89.62,25.36,91.46,6.32,107.42,Coconut
94.27,77.39,76.69,26.9,76.67,6.63,1361.64,Sugarcane
97.27,81.12,93.42,24.22,86.79,6.9,151.26,Banana
78.73,32.66,39.72,24.71,61.22,6.3,64.02,Sunflower
90.67,71.58,95.22,25.21,83.84,5.98,137.59,Banana
33.22,57.85,19.14,27.72,54.93,6.65,41.05,Toor Dal
69.49,63.33,70.31,25.35,76.9,6.68,89.35,Onion
107.56,54.66,38.73,18.56,74.07,6.43,66.31,Wheat
88.28,53.84,39.9,28.03,79.74,7.2,118.1,Chilli
98.44,53.5,43.98,24.93,58.13,7.2,96.52,Wheat
120.58,106.4,78.27,27.48,77.12,6.99,1766.17,Sugarcane
29.09,51.95,31.05,29.04,59.13,7.96,56.79,Toor Dal
107.43,52.1,50.57,22.3,58.15,6.03,104.98,Wheat
21.48,59.4,41.52,25.24,65.09,6.69,70.57,Groundnut
46.27,68.49,32.64,26.67,76.97,6.55,98.98,Cotton
27.06,65.11,26.24,24.23,74.2,5.66,75.04,Soybean
43.14,39.26,27.02,32.23,48.31,7.46,44.31,Sesame
110.68,98.82,77.49,24.4,84.05,6.64,1478.88,Sugarcane
65.48,30.62,27.63,25.32,57.48,6.48,68.57,Maize
82.62,52.96,41.09,31.25,66.08,6.96,87.7,Chilli
36.66,23.76,39.33,26.24,49.93,6.61,31.53,Safflower
68.57,38.31,49.03,24.0,84.45,7.07,271.12,Rice
24.09,17.06,33.92,27.91,34.34,6.33,51.19,Millet
78.86,47.6,32.55,22.21,68.95,6.56,75.07,Sunflower
20.46,27.42,90.26,31.43,80.23,6.99,164.3,Coconut
81.82,55.86,43.74,21.04,77.55,6.12,284.85,Rice
36.37,29.53,23.91,24.7,33.73,7.94,56.56,Safflower
106.97,86.6,84.54,22.89,61.36,6.63,89.68,Tomato
104.76,98.34,78.83,24.13,71.02,5.64,1412.73,Sugarcane
28.48,27.09,101.0,25.65,76.53,6.32,182.81,Coconut
46.87,31.51,21.09,20.55,54.9,7.3,33.34,Safflower
22.67,35.94,21.39,27.61,45.35,6.64,63.33,Toor Dal
40.79,39.61,36.86,26.27,37.81,7.11,57.95,Safflower
54.66,33.16,32.58,27.88,41.59,7.09,88.72,Sunflower
32.22,25.33,33.93,31.51,57.8,7.1,33.48,Millet
111.26,49.57,47.68,23.96,57.91,6.13,63.82,Chilli
118.03,84.89,79.9,24.24,74.5,5.76,1603.12,Sugarcane
119.09,83.77,84.74,23.17,80.59,6.88,119.34,Tomato
103.92,102.69,64.58,28.94,91.74,5.95,1656.95,Sugarcane
58.25,22.26,27.97,27.29,55.64,5.53,95.3,Maize
94.56,55.27,39.0,25.51,77.16,7.24,278.79,Rice
40.32,40.31,25.4,21.7,34.13,6.92,25.05,Safflower
38.91,33.31,40.21,27.45,30.22,6.82,35.48,Jowar
89.83,60.25,73.3,25.99,86.0,6.63,125.37,Banana
111.81,66.4,47.38,20.72,73.44,7.17,81.79,Wheat
42.46,28.5,38.34,31.17,46.91,6.98,25.3,Jowar
21.55,23.03,36.94,34.8,39.59,6.55,48.78,Millet
49.19,36.67,55.58,22.17,90.23,6.18,166.08,Turmeric
95.73,68.94,94.2,31.34,77.59,6.3,146.17,Banana
106.25,50.97,47.27,29.16,66.94,7.12,109.64,Chilli
97.59,65.02,42.5,26.44,73.6,7.11,76.63,Chilli
99.14,73.99,59.45,23.89,80.81,6.26,1302.09,Sugarcane
61.36,45.67,67.64,27.08,78.22,6.08,194.39,Turmeric
87.42,67.4,86.79,25.86,73.68,5.7,176.12,Banana
112.25,107.04,55.42,22.3,78.89,5.78,1456.96,Sugarcane
99.15,57.97,81.64,29.07,83.54,6.71,131.69,Banana
18.51,43.26,36.76,30.05,67.48,6.7,65.83,Groundnut
49.99,65.47,30.79,23.36,61.08,6.36,80.02,Cotton
83.13,57.47,68.19,18.42,78.67,6.31,79.37,Onion
103.51,83.12,76.29,27.79,70.85,5.73,135.32,Banana
78.56,39.34,38.64,26.05,47.88,7.31,74.13,Sunflower
44.41,77.22,37.91,24.82,86.03,6.73,108.93,Cotton
32.05,74.87,24.15,20.24,39.37,6.51,62.25,Bengalgram
34.74,57.76,19.02,22.98,53.81,7.03,31.91,Bengalgram
40.07,57.49,40.46,23.25,63.2,7.38,120.55,Cotton
66.42,30.28,31.97,27.24,58.86,6.44,107.84,Maize
92.33,83.45,85.34,27.09,91.78,6.53,175.62,Banana
31.06,27.88,33.74,31.45,51.3,6.44,56.36,Sesame
47.75,36.69,50.94,22.92,86.46,5.78,131.19,Turmeric
84.38,44.87,44.95,25.06,70.63,7.36,68.56,Chilli
34.33,39.32,27.2,33.44,46.54,5.62,67.55,Sesame
101.68,89.18,81.0,25.62,61.89,6.19,72.5,Tomato
106.52,104.14,56.38,24.32,85.92,6.74,1390.49,Sugarcane
32.24,24.62,31.77,29.09,31.16,7.38,38.47,Millet
96.68,74.12,52.23,29.03,83.71,5.55,1477.91,Sugarcane
128.37,75.98,78.2,23.41,82.49,7.49,1794.57,Sugarcane
76.13,34.57,38.91,26.91,71.07,5.55,105.04,Maize
15.81,55.9,23.57,25.64,51.21,6.71,50.54,Toor Dal
52.81,34.54,28.7,28.9,45.67,6.74,76.47,Sunflower
37.31,21.99,24.27,26.19,48.22,6.38,65.41,Sesame
58.71,27.16,30.87,26.42,68.59,6.41,62.52,Maize
105.82,73.52,76.18,25.44,82.24,6.34,114.28,Tomato
70.59,22.56,114.42,29.64,72.66,6.07,186.92,Arecanut
37.89,21.56,37.26,23.3,69.72,6.98,64.96,Ragi
29.46,15.86,27.12,28.3,33.01,6.69,49.44,Millet
36.47,26.37,92.01,31.75,73.42,5.89,137.96,Coconut
71.96,26.27,36.34,22.36,64.88,6.7,40.54,Maize
35.98,73.52,37.58,22.94,74.47,6.2,116.21,Cotton
93.11,57.47,51.46,20.89,52.45,7.07,107.99,Wheat
20.67,41.12,31.42,29.52,50.16,6.17,45.2,Groundnut
42.71,31.12,70.54,28.77,79.36,6.22,147.58,Turmeric
20.0,52.29,48.14,31.17,61.55,5.69,44.57,Groundnut
25.51,68.3,27.37,28.05,57.85,6.19,64.58,Soybean
16.28,49.72,88.54,29.63,77.19,5.67,123.48,Coconut
25.9,34.77,25.32,29.49,52.27,6.4,63.39,Sesame
39.02,39.13,94.28,27.66,85.62,6.84,132.47,Coconut
74.66,44.58,63.18,27.44,61.41,6.68,96.53,Onion
97.33,57.02,48.19,22.59,78.15,7.17,255.53,Rice
18.05,72.56,34.39,23.77,60.79,7.38,38.05,Bengalgram
74.48,50.6,29.39,29.72,45.3,7.46,66.87,Sunflower
100.9,41.83,39.55,27.86,69.53,6.7,87.59,Chilli
57.43,33.08,27.31,25.63,71.76,6.99,106.22,Maize
20.04,46.67,29.51,30.77,54.93,6.2,50.46,Toor Dal
34.63,20.74,32.81,27.32,47.62,7.48,33.14,Millet
119.74,58.23,87.8,28.92,83.15,6.75,142.76,Banana
44.22,20.68,22.1,34.26,35.27,7.09,35.73,Millet
87.62,60.05,73.23,26.49,61.34,6.82,67.2,Onion
16.56,50.84,45.96,26.81,41.58,6.02,71.14,Groundnut
70.46,40.8,95.93,27.21,93.19,6.36,224.09,Arecanut
32.1,24.67,28.67,30.71,32.98,6.1,56.81,Millet
112.84,51.88,52.4,22.55,62.35,6.83,96.19,Wheat
73.03,34.46,35.21,24.81,69.45,5.93,85.97,Maize
128.78,97.9,56.2,26.78,85.78,6.77,1594.79,Sugarcane
29.98,25.07,90.45,26.72,78.63,6.01,136.15,Coconut
86.89,67.22,42.67,28.53,79.36,6.62,94.55,Chilli
87.66,48.75,60.02,24.44,64.78,6.15,64.59,Onion
51.79,38.73,41.98,28.93,64.57,6.44,47.21,Sunflower
113.29,79.32,78.39,22.74,79.99,7.34,1713.99,Sugarcane
35.16,33.02,20.07,24.51,54.98,6.25,37.97,Safflower
59.11,58.83,29.44,27.46,65.61,6.26,110.83,Cotton
32.89,32.31,25.43,31.59,63.47,7.12,54.32,Sesame
46.19,40.63,78.44,26.91,78.24,6.41,121.59,Turmeric
17.9,58.35,33.08,28.46,69.81,6.66,49.52,Groundnut
93.13,45.77,37.05,22.76,51.69,7.18,63.55,Wheat
31.76,42.46,48.41,24.44,52.51,5.77,66.88,Groundnut
47.95,20.98,32.9,20.69,32.85,7.61,48.93,Safflower
51.38,31.53,33.18,29.99,52.17,6.48,54.64,Jowar
20.23,52.52,39.7,31.19,65.86,6.01,43.38,Groundnut
108.46,49.42,52.07,31.05,66.15,7.33,62.89,Chilli
33.63,26.07,32.75,34.71,40.64,5.61,60.94,Sesame
98.36,91.52,57.13,26.19,76.47,6.47,1710.95,Sugarcane
28.47,30.81,25.53,26.43,51.07,7.11,77.58,Ragi
20.85,18.61,29.77,31.88,58.64,6.98,38.14,Millet
62.57,45.19,43.14,22.91,79.14,6.34,285.73,Rice
36.52,38.55,31.63,30.25,43.88,6.15,68.21,Sesame
37.61,30.26,31.66,32.07,49.44,7.35,47.34,Sesame
25.87,16.34,40.57,24.93,51.49,6.63,80.25,Ragi
85.2,46.17,43.64,23.68,61.87,6.91,115.74,Wheat
24.41,51.89,32.12,24.48,52.79,5.77,63.84,Groundnut
24.3,40.66,22.57,25.43,63.81,7.33,33.43,Toor Dal
119.67,55.06,75.33,25.07,94.59,6.05,174.85,Banana
100.54,64.39,97.17,31.26,84.15,6.02,144.51,Banana
38.38,15.14,34.52,30.76,50.35,7.48,30.17,Millet
17.95,58.76,29.65,22.4,48.06,6.98,63.21,Bengalgram
32.04,34.38,25.09,32.15,63.6,6.06,60.5,Sesame
71.16,43.73,39.44,25.27,58.34,6.49,42.86,Sunflower
70.61,32.69,35.66,23.21,56.71,6.38,61.2,Maize
23.08,16.93,24.12,26.61,46.87,7.28,26.23,Millet
18.26,74.49,22.84,26.02,54.62,6.68,49.63,Bengalgram
102.2,80.33,76.57,31.65,81.61,5.73,127.89,Banana
28.21,20.89,33.95,34.12,40.77,6.72,62.32,Sesame
37.61,31.35,90.61,28.72,71.01,6.93,144.92,Coconut
56.03,58.58,46.18,28.47,75.68,6.04,88.72,Cotton
16.65,47.64,47.03,26.5,43.98,5.92,74.31,Groundnut
19.23,55.6,30.6,30.32,66.68,7.64,50.61,Toor Dal
40.76,26.7,26.12,31.52,54.12,7.45,54.88,Sesame
68.82,40.49,41.54,20.2,81.72,6.86,210.65,Rice
16.68,70.04,32.74,27.2,47.21,7.05,56.3,Bengalgram
96.68,62.87,43.08,31.69,63.84,7.21,118.25,Chilli
62.9,46.46,49.98,26.97,76.47,5.93,189.78,Rice
18.42,54.2,42.09,25.15,43.09,6.73,71.87,Groundnut
119.7,93.75,68.38,29.01,89.67,6.54,1516.13,Sugarcane
28.91,17.6,28.04,28.16,41.68,6.69,27.31,Millet
76.62,34.24,111.69,29.14,93.83,6.34,160.84,Arecanut
28.18,42.81,41.55,26.81,66.76,5.98,47.7,Groundnut
22.74,38.56,101.95,25.48,94.57,6.81,185.3,Coconut
96.39,46.98,42.91,22.33,73.95,7.34,101.51,Wheat
27.53,37.94,32.63,25.83,58.68,5.88,58.35,Groundnut
36.07,56.2,47.69,24.89,74.09,6.68,82.79,Cotton
25.3,35.99,34.26,25.86,47.5,6.59,43.5,Sesame
90.43,55.93,40.83,22.22,74.3,6.1,105.01,Chilli
29.77,79.39,23.63,27.64,66.85,5.93,116.64,Soybean
28.71,54.99,47.76,27.18,69.09,5.92,41.25,Groundnut
67.43,49.88,45.13,21.65,77.4,7.28,186.93,Rice
102.8,46.84,45.46,24.26,54.8,7.02,119.44,Wheat
44.66,26.09,33.76,31.97,41.16,6.6,61.46,Jowar
29.39,33.39,44.94,25.18,54.86,7.37,98.11,Ragi
89.65,48.79,41.42,20.07,76.5,7.27,285.59,Rice
18.2,55.7,31.54,24.74,42.24,7.66,59.06,Bengalgram
53.06,33.49,69.62,25.41,77.12,6.08,185.7,Turmeric
104.63,80.39,60.63,22.0,90.38,7.2,1440.72,Sugarcane
16.75,73.2,25.55,29.94,75.09,5.93,108.34,Soybean
63.98,46.06,43.0,25.72,42.57,7.1,85.87,Sunflower
47.76,61.9,37.55,27.3,85.44,7.21,116.84,Cotton
75.98,40.48,49.96,23.57,76.82,5.59,166.45,Rice
24.72,21.34,36.59,27.53,39.07,7.45,48.05,Millet
22.22,40.54,81.7,27.66,71.01,6.15,102.63,Coconut
60.78,48.49,50.0,22.45,88.0,7.06,247.76,Rice
111.33,52.11,43.12,22.64,66.38,6.71,85.89,Wheat
42.59,21.0,21.67,27.54,42.76,7.04,43.76,Millet
25.1,57.13,24.33,26.04,45.82,7.5,36.06,Bengalgram
40.31,33.91,26.45,29.27,44.13,6.38,65.89,Sesame
38.1,24.88,24.39,31.06,54.36,5.74,33.07,Sesame
58.25,39.51,118.54,24.38,85.7,6.46,199.49,Arecanut
67.75,33.4,30.94,27.82,75.47,7.13,56.54,Maize
28.96,40.45,111.46,25.12,85.61,6.45,193.86,Coconut
72.74,25.1,26.96,22.17,63.12,7.1,83.27,Maize
84.46,61.12,76.42,21.34,70.41,6.74,91.81,Onion
77.99,50.27,39.23,22.61,40.07,7.4,47.43,Sunflower
49.04,30.75,73.17,23.98,76.81,5.69,182.72,Turmeric
35.93,29.52,24.35,31.68,68.77,6.49,56.71,Sesame
26.97,27.05,41.45,26.36,49.64,5.66,83.05,Ragi
49.38,41.7,30.27,27.8,35.64,6.56,26.57,Safflower
83.15,73.95,87.29,21.18,75.65,6.56,91.57,Tomato
107.56,55.96,95.56,29.32,87.37,6.72,148.7,Banana
41.74,26.49,36.61,20.92,57.05,6.68,50.13,Safflower
115.32,82.98,55.86,24.21,72.99,7.08,1206.25,Sugarcane
42.61,65.25,30.17,27.37,88.51,6.55,83.26,Cotton
102.46,101.98,84.93,25.71,89.79,6.16,1790.48,Sugarcane
108.03,85.84,71.51,24.31,62.45,6.69,93.42,Tomato
117.24,54.69,54.47,24.59,53.61,6.19,99.78,Wheat
54.57,45.69,34.95,28.44,44.28,7.31,67.36,Sunflower
69.04,23.6,27.08,24.83,71.63,7.0,100.77,Maize
75.74,29.83,27.36,27.64,66.22,5.51,45.55,Maize
103.17,76.56,83.06,24.98,86.11,6.91,164.17,Banana
67.69,31.95,29.81,24.39,69.67,7.5,74.27,Maize
98.33,44.92,45.73,20.53,88.81,6.75,165.29,Rice
64.33,55.93,59.36,27.67,79.98,6.88,68.4,Onion
66.91,31.23,33.73,22.87,67.6,7.39,43.04,Maize
41.29,25.67,26.07,28.59,30.34,6.27,61.68,Jowar
26.93,43.45,33.1,31.97,53.57,7.8,44.37,Toor Dal
93.6,75.49,95.37,25.83,81.12,6.55,192.93,Banana
43.11,26.18,34.59,28.96,49.99,7.41,50.77,Ragi
42.31,29.61,40.25,34.54,56.96,6.03,28.04,Jowar
116.52,55.37,35.32,26.37,55.8,6.76,105.88,Chilli
42.78,33.24,31.63,32.56,34.9,7.98,57.59,Jowar
39.35,25.7,39.46,29.49,67.4,5.85,94.11,Ragi
54.62,40.85,92.8,27.46,82.35,6.12,229.05,Arecanut
41.32,42.39,57.59,27.0,94.28,6.73,189.05,Turmeric
62.29,49.6,42.54,25.97,78.15,7.42,162.02,Rice
30.03,74.19,31.48,23.62,71.55,6.24,75.7,Soybean
27.27,25.21,41.17,25.63,55.4,6.41,52.89,Ragi
84.12,49.0,47.19,27.71,58.86,6.23,103.65,Chilli
98.59,64.88,40.78,25.78,50.01,7.4,83.75,Wheat
54.67,29.52,32.99,32.53,63.8,6.86,25.47,Jowar
16.95,37.6,38.92,25.97,48.5,5.79,40.95,Groundnut
39.48,22.59,29.18,25.96,33.21,6.56,55.78,Safflower
32.11,59.72,19.18,28.73,66.89,6.52,70.76,Soybean
106.45,87.72,82.68,29.15,93.33,6.05,1745.38,Sugarcane
44.14,28.46,23.61,30.99,35.4,6.83,53.02,Millet
116.53,61.74,37.43,29.57,58.01,6.73,92.34,Chilli
81.95,77.57,80.95,23.93,82.56,6.29,61.39,Tomato
27.65,37.34,33.78,34.04,50.63,6.3,52.28,Sesame
52.74,54.64,28.84,24.58,61.53,7.4,116.94,Cotton
56.56,42.44,94.23,28.9,82.73,5.28,207.2,Arecanut
40.24,18.68,26.21,32.89,47.73,7.26,47.55,Jowar
36.63,27.02,34.06,30.99,39.27,7.49,29.32,Millet
127.78,108.42,53.4,27.8,83.29,5.88,1568.33,Sugarcane
35.76,36.51,20.01,22.51,40.51,6.57,54.36,Safflower
118.59,43.79,39.54,26.57,57.78,6.83,70.7,Chilli
97.95,40.15,38.89,18.65,64.3,6.04,101.62,Wheat
105.37,58.55,51.86,29.51,58.8,7.41,92.68,Chilli
83.6,82.48,72.77,29.56,71.25,5.62,194.56,Banana
116.86,50.73,36.8,22.91,57.58,7.08,66.4,Wheat
24.46,39.23,31.03,32.91,64.27,6.44,51.47,Groundnut
29.54,44.92,85.07,25.38,88.43,6.3,185.72,Coconut
88.62,71.93,71.32,20.3,70.81,6.47,62.25,Tomato
81.24,56.99,72.55,31.13,73.64,6.46,149.56,Banana
74.24,45.08,32.56,22.17,64.8,7.15,72.22,Sunflower
87.43,83.28,62.14,22.03,83.78,6.42,75.03,Tomato
15.92,56.3,29.28,26.19,53.94,6.88,54.87,Toor Dal
28.84,56.49,20.32,28.81,66.46,5.76,80.61,Soybean
31.91,59.07,18.99,24.56,76.96,5.7,69.8,Soybean
44.77,73.92,38.64,29.68,64.32,7.02,134.85,Cotton
41.41,36.83,28.2,33.22,60.44,7.22,54.69,Sesame
22.75,58.41,30.24,27.06,79.39,5.8,67.63,Soybean
108.82,76.5,78.87,25.17,69.89,6.33,108.53,Tomato
111.61,54.76,46.5,28.34,73.36,6.85,118.2,Chilli
74.58,32.74,33.86,25.66,79.1,5.62,73.53,Maize
24.17,43.91,110.44,30.84,80.8,6.53,183.36,Coconut
63.59,64.43,70.35,23.3,73.26,6.73,62.44,Onion
103.5,76.33,84.95,25.54,78.81,6.13,1894.02,Sugarcane
59.39,24.46,36.96,26.0,75.83,7.11,45.05,Maize
42.59,21.22,27.35,29.33,48.85,6.73,60.96,Ragi
92.71,56.07,42.84,30.59,67.37,6.7,107.83,Chilli
43.95,35.49,75.37,22.45,85.94,5.59,127.8,Turmeric
47.47,34.04,27.71,26.02,45.82,6.21,31.12,Safflower
29.98,52.22,22.85,27.71,49.07,7.14,68.6,Toor Dal
38.48,28.07,31.96,23.43,56.12,6.56,86.39,Ragi
25.51,41.21,99.91,31.84,80.14,5.79,125.29,Coconut
103.5,55.07,48.7,20.2,50.19,6.21,54.48,Wheat
114.99,45.26,53.74,31.21,63.07,6.44,112.61,Chilli
58.72,33.96,32.99,22.58,51.65,6.69,44.68,Sunflower
53.94,78.84,36.47,25.69,77.6,6.04,86.98,Cotton
61.87,18.95,33.62,24.48,66.3,5.61,98.22,Maize
99.55,43.67,41.97,24.96,60.44,6.86,89.6,Wheat
32.53,15.95,33.4,28.35,53.71,5.72,95.26,Ragi
67.42,33.37,29.87,28.39,70.18,6.2,84.56,Maize
55.69,76.91,44.37,27.19,75.66,6.56,82.61,Cotton
111.65,68.29,64.29,26.78,61.48,6.25,94.31,Tomato
77.99,46.07,41.51,22.28,53.89,6.93,64.41,Sunflower
32.94,28.0,23.94,28.03,44.96,7.98,36.85,Safflower
114.93,49.21,43.72,31.84,57.07,7.3,85.33,Chilli
39.6,52.05,37.63,25.33,76.11,6.14,93.27,Cotton
32.43,59.68,21.15,25.98,53.12,7.81,34.25,Bengalgram
62.43,25.27,63.26,26.21,70.14,5.97,127.53,Turmeric
31.17,48.66,80.83,25.91,88.74,5.89,165.75,Coconut
61.91,44.6,59.86,24.58,65.97,6.87,53.47,Onion
45.71,50.14,31.15,23.77,82.19,6.65,130.41,Cotton
81.38,68.49,76.97,24.55,82.08,6.06,100.21,Tomato
60.22,53.77,46.55,20.75,83.5,5.85,293.69,Rice
43.7,34.39,29.74,27.61,41.03,7.6,56.53,Jowar
118.66,79.39,99.52,24.03,74.72,6.9,194.22,Banana
22.88,39.77,97.97,27.1,86.3,5.56,122.95,Coconut
106.79,80.91,76.5,20.32,74.74,6.21,90.79,Tomato
41.75,25.62,37.76,22.42,52.4,6.93,55.03,Ragi
51.81,79.44,41.25,29.67,75.12,7.04,99.34,Cotton
16.29,60.09,25.01,26.59,54.38,6.88,54.05,Bengalgram
62.14,38.73,43.44,22.13,94.88,5.74,264.67,Rice
30.54,29.84,26.74,26.92,50.07,6.33,55.88,Millet
23.46,58.61,20.98,27.76,48.18,6.88,53.58,Bengalgram
63.02,20.75,112.18,28.7,80.16,6.14,204.45,Arecanut
22.26,25.38,37.44,34.32,52.99,6.9,47.54,Millet
20.66,71.93,25.11,23.27,39.38,6.94,40.47,Bengalgram
63.25,29.79,29.9,29.56,75.34,6.6,71.84,Maize
82.01,36.26,49.99,25.85,94.38,7.35,277.3,Rice
38.11,20.79,34.32,29.07,48.76,7.93,34.34,Jowar
83.36,52.39,47.85,25.36,82.61,5.51,202.76,Rice
114.91,77.51,50.68,22.4,83.37,5.87,1271.59,Sugarcane
66.08,25.2,62.64,24.68,86.2,5.65,193.05,Turmeric
70.4,51.9,36.08,28.64,67.57,6.75,75.47,Sunflower
74.23,48.82,28.11,23.85,61.79,6.55,85.11,Sunflower
111.47,47.36,49.11,25.1,61.11,7.21,92.48,Wheat
17.05,58.86,21.76,23.51,77.43,6.42,109.88,Soybean
115.34,59.62,46.04,30.63,76.26,6.24,75.83,Chilli
124.75,102.81,50.48,27.55,72.78,6.4,1215.92,Sugarcane
83.33,56.73,55.64,23.67,55.6,6.95,54.94,Onion
72.22,39.94,38.69,28.96,69.15,6.25,77.54,Sunflower
89.53,64.68,75.66,21.72,75.94,6.04,57.08,Onion
16.28,59.71,28.89,31.03,51.53,7.42,65.69,Toor Dal
30.54,44.57,36.65,24.54,68.67,5.9,57.62,Groundnut
69.88,33.95,30.26,25.01,74.79,7.13,86.91,Maize
50.29,25.01,41.85,27.31,54.75,6.02,47.76,Jowar
57.38,25.25,36.31,24.99,58.82,7.35,44.7,Maize
74.8,33.23,32.65,28.48,71.3,6.14,73.29,Maize
37.19,29.91,32.94,28.85,41.33,5.91,37.38,Sesame
107.03,72.23,88.84,20.69,66.33,6.14,114.73,Tomato
57.12,18.89,27.68,26.94,71.85,6.04,86.34,Maize
15.69,62.92,23.85,24.98,68.5,5.74,78.09,Soybean
120.58,70.6,59.45,25.3,88.56,7.48,1730.44,Sugarcane
111.44,62.73,49.45,21.69,69.8,6.47,63.15,Wheat
87.38,56.07,46.64,21.6,75.64,6.13,190.16,Rice
109.15,88.84,62.92,22.94,76.14,6.97,101.93,Tomato
32.98,24.33,30.35,23.98,42.9,6.08,69.21,Ragi
40.35,32.59,44.71,31.79,33.33,7.93,60.36,Jowar
63.93,25.12,119.84,29.45,86.95,5.12,166.34,Arecanut
119.12,52.71,36.49,20.0,54.11,6.47,93.82,Wheat
75.92,42.3,80.43,25.11,90.51,6.5,152.94,Arecanut
100.24,84.65,71.21,22.57,93.26,5.92,1543.98,Sugarcane
69.54,53.26,31.83,28.28,50.17,6.54,82.8,Sunflower
65.67,45.26,62.95,23.69,78.71,6.34,97.52,Onion
69.35,63.08,70.33,27.59,56.48,6.41,57.19,Onion
98.66,50.84,50.18,25.07,55.61,6.42,79.4,Wheat
27.75,35.28,34.02,26.53,63.71,5.96,60.27,Groundnut
38.66,29.79,35.22,29.18,34.83,6.77,33.36,Jowar
22.5,25.57,119.25,27.29,87.8,6.8,193.14,Coconut
30.33,51.19,33.53,24.35,51.52,5.79,67.84,Groundnut
56.93,32.36,26.72,28.17,75.88,7.27,42.64,Maize
33.87,37.32,27.78,20.1,53.49,7.19,23.11,Safflower
19.76,56.03,23.38,23.01,61.51,5.78,93.75,Soybean
23.24,78.45,28.38,22.3,59.5,6.25,117.02,Soybean
32.54,70.32,30.95,22.11,44.39,7.84,42.62,Bengalgram
19.39,56.16,31.56,27.48,65.98,7.69,37.04,Toor Dal
19.81,68.96,18.21,27.85,78.75,5.7,77.75,Soybean
27.82,18.25,34.18,24.06,45.59,6.97,89.54,Ragi
54.4,36.52,83.74,27.3,84.32,5.52,213.04,Arecanut
49.4,44.84,29.68,26.14,46.39,6.32,49.67,Safflower
48.71,17.2,25.38,24.51,44.54,6.88,70.52,Ragi
